subtype,donor,pc,morans_I,pooled_I,sq2_sig,CPS
Astrocyte,H20.33.004,1,0.027167145910057085,0.2862659737761159,True,0.725005699
Astrocyte,H20.33.004,2,0.018285884351357105,0.430465580748806,True,0.725005699
Astrocyte,H20.33.004,3,0.037261752423939844,0.5735127109647344,True,0.725005699
Astrocyte,H20.33.004,4,0.019902790982296144,0.3765432374042084,True,0.725005699
Astrocyte,H20.33.004,5,0.001786295267970775,0.1899880880464191,True,0.725005699
Astrocyte,H20.33.004,6,0.01027758184737664,0.0747578292716433,True,0.725005699
Astrocyte,H20.33.004,7,0.004258769589326557,0.1237640178569698,True,0.725005699
Astrocyte,H20.33.004,8,0.021884158697621572,0.028634458450594,False,0.725005699
Astrocyte,H20.33.004,9,0.008560524695620443,0.0916588196968351,True,0.725005699
Astrocyte,H20.33.004,10,0.041324227294821304,0.0733080886255834,True,0.725005699
Astrocyte,H20.33.004,11,0.06658373700694939,0.0808179516090122,True,0.725005699
Astrocyte,H20.33.004,12,0.02446169352754917,0.1142112673099352,True,0.725005699
Astrocyte,H20.33.004,13,0.05747597681253277,0.1000277830519599,True,0.725005699
Astrocyte,H20.33.004,14,0.014388808914743638,0.0180891387668296,False,0.725005699
Astrocyte,H20.33.004,15,0.04403300089514468,0.0767293249577688,True,0.725005699
Astrocyte,H20.33.004,16,0.042392752748974846,0.1348448783089126,True,0.725005699
Astrocyte,H20.33.004,17,0.08556946803349683,0.0528716854104777,False,0.725005699
Astrocyte,H20.33.004,18,0.09016369203341894,0.0897493453051372,True,0.725005699
Astrocyte,H20.33.004,19,0.05889931395222769,0.0695304037820263,True,0.725005699
Astrocyte,H20.33.004,20,0.04465654399014447,0.1164538305736757,True,0.725005699
Astrocyte,H20.33.015,1,0.06353526161577883,0.2862659737761159,True,0.878967566
Astrocyte,H20.33.015,2,0.09133917653050756,0.430465580748806,True,0.878967566
Astrocyte,H20.33.015,3,0.054149647465078804,0.5735127109647344,True,0.878967566
Astrocyte,H20.33.015,4,0.13673514134783163,0.3765432374042084,True,0.878967566
Astrocyte,H20.33.015,5,-0.013431511391496733,0.1899880880464191,True,0.878967566
Astrocyte,H20.33.015,6,-0.0009599326605143852,0.0747578292716433,True,0.878967566
Astrocyte,H20.33.015,7,0.015806218151255234,0.1237640178569698,True,0.878967566
Astrocyte,H20.33.015,8,0.07107861571958202,0.028634458450594,False,0.878967566
Astrocyte,H20.33.015,9,-0.0056734087636775895,0.0916588196968351,True,0.878967566
Astrocyte,H20.33.015,10,0.08589420719933599,0.0733080886255834,True,0.878967566
Astrocyte,H20.33.015,11,0.032901095462364444,0.0808179516090122,True,0.878967566
Astrocyte,H20.33.015,12,0.07582627803612725,0.1142112673099352,True,0.878967566
Astrocyte,H20.33.015,13,-0.04633612162393038,0.1000277830519599,True,0.878967566
Astrocyte,H20.33.015,14,-0.008303524350659779,0.0180891387668296,False,0.878967566
Astrocyte,H20.33.015,15,0.12788126932875835,0.0767293249577688,True,0.878967566
Astrocyte,H20.33.015,16,0.07515985348201833,0.1348448783089126,True,0.878967566
Astrocyte,H20.33.015,17,-0.03143007656453747,0.0528716854104777,False,0.878967566
Astrocyte,H20.33.015,18,0.037558205337991715,0.0897493453051372,True,0.878967566
Astrocyte,H20.33.015,19,0.023020189848221517,0.0695304037820263,True,0.878967566
Astrocyte,H20.33.015,20,0.056512330103157156,0.1164538305736757,True,0.878967566
Astrocyte,H20.33.025,1,0.05861451937717639,0.2862659737761159,True,0.588881872
Astrocyte,H20.33.025,2,0.02307646568103386,0.430465580748806,True,0.588881872
Astrocyte,H20.33.025,3,0.04171032992282364,0.5735127109647344,True,0.588881872
Astrocyte,H20.33.025,4,0.07924691452586874,0.3765432374042084,True,0.588881872
